order,colour,theme,r,g,b,h,s,l,rgb,rgba_str
0,red,mid,213.9999999999998,38.999999999999936,39.99999999999994,0,176,127,"(0.839215686274509, 0.152941176470588, 0.156862745098039)","rgba(213,38,39,1)"
1,orange,mid,255.0,126.99999999999987,13.999999999999993,20,255,135,"(1.0, 0.498039215686274, 0.0549019607843137)","rgba(255,126,13,1)"
2,yellow,mid,187.99999999999991,188.99999999999991,33.999999999999915,43,177,112,"(0.737254901960784, 0.741176470588235, 0.133333333333333)","rgba(187,188,33,1)"
3,green,mid,43.999999999999964,159.99999999999977,43.999999999999964,85,145,102,"(0.172549019607843, 0.627450980392156, 0.172549019607843)","rgba(43,159,43,1)"
4,cyan,mid,22.99999999999999,189.99999999999991,206.99999999999974,132,204,115,"(0.0901960784313725, 0.745098039215686, 0.811764705882352)","rgba(22,189,206,1)"
5,blue,mid,30.9999999999999,118.99999999999983,179.99999999999986,145,180,106,"(0.12156862745098, 0.466666666666666, 0.705882352941176)","rgba(30,118,179,1)"
6,purple,mid,147.99999999999997,103.0,188.99999999999991,192,101,146,"(0.580392156862745, 0.403921568627451, 0.741176470588235)","rgba(147,103,188,1)"
7,pink,mid,226.9999999999999,118.99999999999983,193.99999999999997,226,168,173,"(0.890196078431372, 0.466666666666666, 0.76078431372549)","rgba(226,118,193,1)"
8,brown,mid,139.99999999999991,85.99999999999991,74.99999999999986,7,77,108,"(0.549019607843137, 0.337254901960784, 0.294117647058823)","rgba(139,85,74,1)"
9,grey,mid,126.99999999999987,126.99999999999987,126.99999999999987,170,0,127,"(0.498039215686274, 0.498039215686274, 0.498039215686274)","rgba(126,126,126,1)"
10,red,pale,255.0,152.0,149.99999999999997,0,255,203,"(1.0, 0.596078431372549, 0.588235294117647)","rgba(255,152,149,1)"
11,orange,pale,255.0,186.99999999999991,119.99999999999983,21,255,188,"(1.0, 0.733333333333333, 0.470588235294117)","rgba(255,186,119,1)"
12,yellow,pale,218.99999999999983,218.99999999999983,140.99999999999994,42,133,180,"(0.858823529411764, 0.858823529411764, 0.552941176470588)","rgba(218,218,140,1)"
13,green,pale,152.0,222.99999999999983,137.99999999999994,78,145,181,"(0.596078431372549, 0.874509803921568, 0.541176470588235)","rgba(152,222,137,1)"
14,cyan,pale,157.99999999999977,217.99999999999983,228.99999999999986,135,147,194,"(0.619607843137254, 0.854901960784313, 0.898039215686274)","rgba(157,217,228,1)"
15,blue,pale,173.99999999999986,198.99999999999997,231.9999999999999,152,142,203,"(0.68235294117647, 0.780392156862745, 0.909803921568627)","rgba(173,198,231,1)"
16,purple,pale,196.99999999999994,175.99999999999986,212.99999999999977,194,78,195,"(0.772549019607843, 0.690196078431372, 0.835294117647058)","rgba(196,175,212,1)"
17,pink,pale,246.99999999999997,181.9999999999999,209.99999999999977,237,205,215,"(0.968627450980392, 0.713725490196078, 0.823529411764705)","rgba(246,181,209,1)"
18,brown,pale,195.99999999999994,156.0,147.99999999999997,7,74,172,"(0.768627450980392, 0.611764705882353, 0.580392156862745)","rgba(195,156,147,1)"
19,grey,pale,198.99999999999997,198.99999999999997,198.99999999999997,170,0,199,"(0.780392156862745, 0.780392156862745, 0.780392156862745)","rgba(198,198,198,1)"
20,red,dark,137.0,41.0,41.0,0,138,89,"(0.5372549019607843, 0.1607843137254902, 0.1607843137254902)","rgba(137,41,41,1)"
21,orange,dark,218.0,104.0,0.0,20,255,109,"(0.8549019607843137, 0.40784313725490196, 0.0)","rgba(218,104,0,1)"
22,yellow,dark,139.0,139.0,17.0,42,199,78,"(0.5450980392156862, 0.5450980392156862, 0.06666666666666667)","rgba(139,139,17,1)"
23,green,dark,27.0,99.0,29.0,86,146,63,"(0.10588235294117647, 0.38823529411764707, 0.11372549019607843)","rgba(27,99,29,1)"
24,cyan,dark,7.0,132.0,145.0,132,232,76,"(0.027450980392156862, 0.5176470588235295, 0.5686274509803921)","rgba(7,132,145,1)"
25,blue,dark,13.0,67.0,103.0,145,198,58,"(0.050980392156862744, 0.2627450980392157, 0.403921568627451)","rgba(13,67,103,1)"
26,purple,dark,125.0,68.0,176.0,192,113,122,"(0.49019607843137253, 0.26666666666666666, 0.6901960784313725)","rgba(125,68,176,1)"
27,pink,dark,213.0,91.0,175.0,226,151,152,"(0.8352941176470589, 0.3568627450980392, 0.6862745098039216)","rgba(213,91,175,1)"
28,brown,dark,100.0,60.0,52.0,7,81,76,"(0.39215686274509803, 0.23529411764705882, 0.20392156862745098)","rgba(100,60,52,1)"
29,grey,dark,91.0,91.0,91.0,170,0,91,"(0.3568627450980392, 0.3568627450980392, 0.3568627450980392)","rgba(91,91,91,1)"
30,black,dark,0.0,0.0,0.0,170,0,0,"(0.0, 0.0, 0.0)","rgba(0,0,0,1)"
