chart,row,col,plot,plot_lab,ylab,ymin,ymax, height,log,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,1,1,BES_CA,BES,Current Density<br>(μA/cm²),0,40,10,False,,,,,,,
0,2,1,BES_CB,BES,Current Density<br>(μA/cm²),0,40,10,False,,,,,,,
0,3,1,BES_CC,BES,Current Density<br>(μA/cm²),0,40,10,False,,,,,,,
0,4,1,COD,COD,COD<br>(mg/l O₂),0,600,10,False,,,,,,,
0,5,1,BOD,BOD,BOD₅<br>(mg/l O₂),0,500,10,False,,,,,,,
0,6,1,TEMP,Temperature,Temperature<br>(°C),0,60,10,False,,,,,,,
0,7,1,TEMP_PROCESS,TEMP_PROCESS,Control<br>Temp (°C),0,150,8,False,,,,,,,
0,8,1,PUMP,Pump,Flow rate<br>(ml/min),0,30,8,False,,,,,,,
0,9,1,PUMP_EVENT,PUMP_EVENT,Pump,0,1,3,False,,,,,,,
0,10,1,PRESSURE,Pressure,Pressure (mbar)<br>Enclosure Tilt (°),-50,50,10,False,,,,,,,
0,11,1,pH,pH,pH,4,10,10,False,,,,,,,
0,12,1,CONDUCTIVITY,Conductivity,Conductance<br>(μS/cm @25°C),0,2500,10,False,,,,,,,
0,13,1,REXT,REXT,R<sub>Ext</sub><br>(Ω),1,51101,8,True,,,,,,, 
0,14,1,OCP,OCP,OCP,0,1,6,False,,,,,,,
0,15,1,DO,Dissolved Oxygen,Dissolved<br>Oxygen (mg/l),0,8,10,False,,,,,,,
0,16,1,LEVEL,Levels,River Level (m)<br>& Rainfall (mm),0,3,10,False,,,,,,,
0,17,1,EVENT,TEMP_EVENT,Heating<br>Control,0,1,3,False,,,,,,,
1,1,1,BES_CA,BES,Current Density<br>(μA/cm²),0,40,10,False,,,,,,,
1,2,1,BES_CB,BES,Current Density<br>(μA/cm²),0,40,10,False,,,,,,,
1,3,1,BES_CC,BES,Current Density<br>(μA/cm²),0,40,10,False,,,,,,,
1,4,1,COD,COD,COD<br>(mg/l O₂),0,600,10,False,,,,,,,
1,5,1,BOD,BOD,BOD₅<br>(mg/l O₂),0,500,10,False,,,,,,,
1,6,1,TEMP,Temperature,Temperature<br>(°C),0,60,10,False,,,,,,,
1,7,1,TEMP_PROCESS,TEMP_PROCESS,Control<br>Temp (°C),0,150,8,False,,,,,,,
1,8,1,PUMP,Pump,Flow rate<br>(ml/min),0,30,8,False,,,,,,,
1,9,1,PUMP_EVENT,PUMP_EVENT,Pump,0,1,3,False,,,,,,,
1,10,1,PRESSURE,Pressure,Pressure (mbar)<br>Enclosure Tilt (°),-50,50,10,False,,,,,,,
1,11,1,pH,pH,pH,4,10,10,False,,,,,,,
1,12,1,CONDUCTIVITY,Conductivity,Conductance<br>(μS/cm @25°C),0,2500,10,False,,,,,,,
1,13,1,REXT,REXT,R<sub>Ext</sub><br>(Ω),1,51101,8,True,,,,,,,
1,14,1,OCP,OCP,OCP,0,1,6,False,,,,,,,
1,15,1,DO,Dissolved Oxygen,Dissolved<br>Oxygen (mg/l),0,8,10,False,,,,,,,
1,16,1,LEVEL,Levels,River Level (m)<br>& Rainfall (mm),0,3,10,False,,,,,,,
1,17,1,EVENT,TEMP_EVENT,Heating<br>Control,0,1,3,False,,,,,,,
2,1,1,BES_CA,BES,Current Density<br>(μA/cm²),0,40,10,False,,,,,,,
2,2,1,BES_CB,BES,Current Density<br>(μA/cm²),0,40,10,False,,,,,,,
2,3,1,BES_CC,BES,Current Density<br>(μA/cm²),0,40,10,False,,,,,,,
2,4,1,COD,COD,COD<br>(mg/l O₂),0,600,10,False,,,,,,,
2,5,1,BOD,BOD,BOD₅<br>(mg/l O₂),0,500,10,False,,,,,,,
2,6,1,TEMP,Temperature,Temperature<br>(°C),0,60,10,False,,,,,,,
2,7,1,TEMP_PROCESS,TEMP_PROCESS,Control<br>Temp (°C),0,150,8,False,,,,,,,
2,8,1,PUMP,Pump,Flow rate<br>(ml/min),0,30,8,False,,,,,,,
2,9,1,PUMP_EVENT,PUMP_EVENT,Pump,0,1,3,False,,,,,,,
2,10,1,PRESSURE,Pressure,Pressure (mbar)<br>Enclosure Tilt (°),-50,50,10,False,,,,,,,
2,11,1,pH,pH,pH,4,10,10,False,,,,,,,
2,12,1,CONDUCTIVITY,Conductivity,Conductance<br>(μS/cm @25°C),0,2500,10,False,,,,,,,
2,13,1,REXT,REXT,R<sub>Ext</sub><br>(Ω),1,51101,8,True,,,,,,,
2,14,1,OCP,OCP,OCP,0,1,6,False,,,,,,,
2,15,1,DO,Dissolved Oxygen,Dissolved<br>Oxygen (mg/l),0,8,10,False,,,,,,,
2,16,1,LEVEL,Levels,River Level (m)<br>& Rainfall (mm),0,3,10,False,,,,,,,
2,17,1,EVENT,TEMP_EVENT,Heating<br>Control,0,1,3,False,,,,,,,
3,1,1,BES_C,BES,Current Density<br>(μA/cm²),0,40,10,False,,,,,,,
3,2,1,COD,COD,COD<br>(mg/l O₂),0,600,10,False,,,,,,,
3,3,1,BOD,BOD,BOD₅<br>(mg/l O₂),0,500,10,False,,,,,,,
3,4,1,TEMP,Temperature,Temperature<br>(°C),0,60,10,False,,,,,,,
3,5,1,TEMP_PROCESS,TEMP_PROCESS,Control<br>Temp (°C),0,150,8,False,,,,,,,
3,6,1,PUMP,Pump,Flow rate<br>(ml/min),0,30,8,False,,,,,,,
3,7,1,PUMP_EVENT,PUMP_EVENT,Pump,0,1,3,False,,,,,,,
3,8,1,PRESSURE,Pressure,Pressure (mbar)<br>Enclosure Tilt (°),-50,50,10,False,,,,,,,
3,9,1,pH,pH,pH,4,10,10,False,,,,,,,
3,10,1,CONDUCTIVITY,Conductivity,Conductance<br>(μS/cm @25°C),0,2500,10,False,,,,,,,
3,11,1,REXT,REXT,R<sub>Ext</sub><br>(Ω),1,51101,8,True,,,,,,,
3,12,1,OCP,OCP,OCP,0,1,6,False,,,,,,,
3,13,1,DO,Dissolved Oxygen,Dissolved<br>Oxygen (mg/l),0,8,10,False,,,,,,,
3,14,1,LEVEL,Levels,River Level (m)<br>& Rainfall (mm),0,3,10,False,,,,,,,
3,15,1,EVENT,TEMP_EVENT,Heating<br>Control,0,1,3,False,,,,,,,
